male,female
19039,17917
20826,19526
22355,20973
23424,21981
24142,22606
24373,22738
24909,23438
25891,24335
26615,24734
27258,25390
28597,26684
29120,27264
28378,26715
27831,26336
27435,25817
27095,25490
26344,24730
25836,24076
25905,24187
25606,24261
25125,23809
25105,23487
25106,23674
24990,23745
25000,23886
25499,24311
26252,25212
26600,25807
26809,25951
26927,26374
27247,27009
27686,27545
28124,28246
28974,29311
30243,30580
31454,31671
33191,33255
35597,35310
37696,37446
39568,39485
41785,41013
43619,41971
44246,42453
44074,42402
43580,42344
42868,41634
42220,40467
41923,40159
41343,39841
40661,39549
39962,39336
39654,39476
39241,38961
38296,38011
38032,38308
37255,37601
35384,36070
34040,35293
33715,35020
33362,34872
32326,33921
31195,32886
29400,31458
28007,30238
26937,29298
25978,28457
26303,28641
25684,28059
24275,27028
23826,27276
24538,28045
24071,27314
22176,25492
21217,24896
20589,24579
19672,23570
17757,21576
15592,19127
16756,21038
14633,18942
11494,15362
12541,17190
12128,16927
11153,15941
10230,15255
9314,14632
8186,13473
6955,11765
5918,10586
4893,9204
3907,7666
3000,6309
2373,5159
1840,4197
1322,3124
961,2358
635,1782
420,1292
285,854
213,555
201,828
