Sexo,Edad,DS_00,DS_01,DS_02,DS_03,DS_04,DS_05,DS_06,DS_07,DS_08,DS_09,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19,DS_20,DS_21,DS_22,DS_23,DS_24
H,0,6,350,1174,818,568,1287,1305,1192,168,1418,1008,1069,688,633,754,528,634,801,845,1176,735,758,672,866,711
H,1,2,391,1181,883,595,1467,1484,1313,153,1522,1156,1168,681,650,743,569,718,910,862,1218,785,824,645,885,731
H,2,3,422,1283,855,633,1464,1607,1411,203,1603,1111,1183,805,664,836,592,808,886,878,1311,845,925,665,976,788
H,3,3,418,1356,888,735,1589,1661,1381,191,1704,1146,1248,802,670,802,609,693,910,893,1301,847,861,703,953,790
H,4,2,390,1311,965,696,1501,1618,1387,212,1608,1178,1216,741,676,802,633,728,955,851,1303,861,883,691,1021,733
H,5,6,433,1390,958,761,1658,1708,1453,210,1744,1275,1291,888,741,873,614,744,1006,879,1391,896,919,717,1043,863
H,6,3,451,1564,1033,777,1763,1846,1608,211,1767,1290,1383,905,752,920,655,834,1087,969,1456,924,932,781,1123,837
H,7,0,456,1468,1007,810,1781,1935,1572,231,1914,1289,1410,907,741,940,725,823,1132,1034,1467,953,999,854,1225,851
H,8,1,494,1504,1066,829,1791,1941,1562,205,1856,1439,1381,932,779,1000,692,800,1186,1054,1526,942,952,832,1118,890
H,9,19,521,1626,1262,939,1998,2024,1582,258,1980,1494,1481,1035,835,1072,795,950,1283,1051,1592,1018,1145,875,1265,971
H,10,27,479,1563,1107,875,1826,2060,1607,215,2044,1469,1488,1047,842,1074,710,905,1321,1065,1575,979,1057,807,1214,881
H,11,21,485,1533,1122,865,1847,1963,1472,250,1901,1432,1406,1012,803,1021,713,896,1317,1021,1540,962,1020,835,1235,942
H,12,29,455,1471,1055,767,1789,1888,1488,245,1838,1433,1435,947,833,1025,730,875,1217,999,1479,953,1010,802,1227,849
H,13,33,430,1383,1024,853,1761,1955,1549,208,1864,1334,1354,990,808,1026,720,955,1257,1006,1520,898,1040,750,1166,837
H,14,33,407,1481,1037,757,1724,1861,1388,254,1838,1317,1285,934,828,1039,695,919,1182,1045,1454,872,939,839,1114,845
H,15,0,439,1429,1047,730,1623,1819,1312,234,1761,1362,1262,935,802,1034,715,873,1080,965,1405,880,939,810,1090,771
H,16,3,412,1347,972,726,1724,1746,1357,228,1774,1256,1275,963,732,1033,689,861,1170,1003,1508,912,963,724,1071,829
H,17,1,427,1326,944,716,1639,1711,1283,265,1743,1316,1304,925,826,946,660,855,1120,986,1443,820,932,795,1025,785
H,18,0,414,1322,962,702,1678,1711,1330,212,1754,1307,1268,853,783,996,677,788,1083,979,1407,755,866,713,987,754
H,19,1,405,1360,879,685,1599,1525,1241,226,1740,1306,1240,870,863,947,664,833,1011,994,1315,780,893,680,985,742
H,20,0,408,1278,950,686,1581,1485,1329,227,1741,1289,1284,889,784,920,692,833,1005,968,1400,751,886,691,937,782
H,21,0,426,1299,873,624,1659,1552,1298,195,1766,1241,1207,859,785,1039,700,803,1015,999,1294,738,948,675,987,755
H,22,1,385,1357,925,655,1562,1517,1294,206,1679,1326,1245,883,686,934,695,791,1036,998,1315,731,872,753,997,794
H,23,0,361,1381,876,618,1629,1491,1281,232,1741,1273,1289,912,727,979,696,760,1023,990,1355,787,888,694,996,767
H,24,0,376,1340,943,701,1751,1549,1371,247,1831,1351,1323,884,783,1080,648,822,996,983,1408,798,892,738,1026,864
H,25,1,382,1353,944,666,1738,1573,1371,241,1782,1395,1362,918,743,1044,692,897,989,1039,1447,786,981,713,1075,897
H,26,0,387,1365,928,697,1696,1485,1436,214,1794,1353,1297,880,801,1068,699,888,1049,1033,1442,833,962,766,1011,841
H,27,0,382,1378,910,706,1747,1543,1367,249,1802,1341,1373,934,783,1072,744,901,1061,1094,1483,835,951,788,1047,861
H,28,1,438,1365,964,723,1680,1527,1448,261,1788,1417,1423,936,735,1065,763,930,1037,1006,1500,869,958,752,1075,886
H,29,0,407,1388,958,704,1769,1536,1454,226,1898,1424,1401,915,758,1082,753,944,1117,1101,1555,871,968,755,1203,907
H,30,0,438,1488,1016,762,1830,1550,1544,237,1970,1480,1487,984,794,1043,729,972,1072,1105,1515,912,982,773,1104,959
H,31,0,442,1546,1055,765,1806,1550,1565,239,1954,1494,1523,974,768,1083,786,1046,1139,1147,1558,937,961,806,1095,979
H,32,0,482,1560,1062,800,1892,1714,1652,285,2157,1586,1532,978,875,1141,758,959,1108,1110,1626,991,1034,815,1211,1104
H,33,0,525,1672,1145,840,2124,1790,1778,267,2155,1604,1659,1056,850,1194,824,1044,1207,1135,1744,1015,1072,845,1268,1065
H,34,0,548,1670,1135,942,2180,1882,1801,272,2198,1681,1678,1065,929,1249,840,1138,1179,1291,1663,1057,1208,896,1310,1114
H,35,1,570,1789,1277,1020,2291,2020,1941,305,2418,1864,1823,1277,974,1321,925,1196,1424,1256,1927,1106,1176,1003,1452,1187
H,36,0,610,2017,1382,1081,2422,2260,2066,305,2675,1883,1887,1243,1076,1427,994,1303,1453,1309,2125,1177,1300,1032,1623,1201
H,37,0,653,2153,1467,1147,2498,2307,2252,367,2760,2114,2035,1312,1150,1449,1082,1322,1529,1480,2113,1330,1336,1072,1679,1294
H,38,0,712,2246,1563,1252,2756,2498,2401,347,2819,2181,2148,1442,1153,1584,1086,1447,1537,1461,2271,1322,1404,1178,1776,1456
H,39,0,742,2415,1667,1272,3020,2825,2504,382,3102,2262,2260,1525,1297,1602,1104,1498,1661,1558,2320,1546,1389,1212,1805,1428
H,40,0,732,2485,1712,1270,3005,2890,2603,383,3234,2360,2282,1561,1276,1659,1098,1567,1789,1550,2439,1523,1478,1264,1933,1436
