date,real_ucis,real_activos,real_hosp,real_infected,real_dead
2/10/2020,,,,,
2/11/2020,,,,,
2/12/2020,,,,,
2/13/2020,,,,,
2/14/2020,,,,,
2/15/2020,,,,,
2/16/2020,,,,,
2/17/2020,,,,,
2/18/2020,,,,,
2/19/2020,,,,,
2/20/2020,,,,,
2/21/2020,,,,,
2/22/2020,,,,,
2/23/2020,,,,,
2/24/2020,,,,,
2/25/2020,,,,,
2/26/2020,,,,,
2/27/2020,,,,,
2/28/2020,,1,,,
2/29/2020,,8,,,
3/1/2020,,10,,,
3/2/2020,,15,,,
3/3/2020,,17,,18,
3/4/2020,,21,,22,
3/5/2020,,29,,30,
3/6/2020,,29,,31,
3/7/2020,,35,,37,
3/8/2020,,40,,42,
3/9/2020,,48,,50,
3/10/2020,,63,,65,
3/11/2020,,74,,76,
3/12/2020,,98,,100,1
3/13/2020,,148,,152,4
3/14/2020,,188,,192,5
3/15/2020,,403,,408,5
3/16/2020,,490,,515,13
3/17/2020,,516,,541,22
3/18/2020,,690,,726,24
3/19/2020,,878,,921,33
3/20/2020,,1052,,1105,50
3/21/2020,84,1288,476,1363,69
3/22/2020,113,1505,590,1604,94
3/23/2020,138,1771,702,1901,115
3/24/2020,161,2015,917,2167,143
3/25/2020,198,2429,1071,2616,167
3/26/2020,230,2976,1278,3200,198
3/27/2020,252,3259,1482,3532,234
3/28/2020,282,3708,1694,4034,267
3/29/2020,309,4356,1874,4784,310
3/30/2020,336,4615,2042,5110,339
3/31/2020,356,4969,2189,5508,395
4/1/2020,365,5287,2189,5922,432
4/2/2020,379,5433,2175,6308,511
4/3/2020,386,5521,2064,6624,571
4/4/2020,386,5635,1977,6901,613
4/5/2020,381,5759,1901,7184,637
4/6/2020,384,5767,1909,7334,672
4/7/2020,384,5668,1887,7443,724
4/8/2020,371,5587,1714,7655,767
4/9/2020,348,5425,1616,7964,796
4/10/2020,346,5450,1511,8331,818
4/11/2020,332,5471,1457,8578,838
4/12/2020,320,5379,1447,8841,876
4/13/2020,316,5381,1428,9060,907
4/14/2020,305,5237,1412,9213,945
4/15/2020,301,5119,1344,9424,972
4/16/2020,274,4941,1247,9615,999
4/17/2020,252,4846,1173,9869,1042
4/18/2020,238,4769,1095,10117,1065
4/19/2020,223,4638,1046,10250,1084
4/20/2020,217,4626,1039,10339,1094
4/21/2020,206,4586,1021,10399,1112
4/22/2020,193,4448,969,10571,1132
4/23/2020,179,4215,918,10735,1148
4/24/2020,170,3949,847,10906,1172
4/25/2020,160,3918,812,11123,1190
4/26/2020,154,3939,792,11372,1194
4/27/2020,149,3901,763,11412,1206
4/28/2020,139,4029,753,11658,1225
4/29/2020,135,3992,716,11816,1244
4/30/2020,127,3928,674,12058,1253
5/1/2020,119,3878,651,12209,1266
5/2/2020,120,3961,638,12514,1274
5/3/2020,118,3965,634,12686,1279
5/4/2020,114,4049,626,12834,1289
5/5/2020,105,3939,606,12883,1302
5/6/2020,102,4015,572,13064,1315
5/7/2020,98,3986,558,13311,1321
5/8/2020,96,4005,537,13507,1328
5/9/2020,92,3552,488,13676,1338
5/10/2020,87,3641,480,13840,1345
5/11/2020,87,3591,478,13881,1351
5/12/2020,82,3497,458,13937,1355
5/13/2020,78,3422,437,14045,1364
5/14/2020,69,3300,411,14154,1373
5/13/2020,67,3311,392,14392,1373
