positius,positius_diaris,morts,morts_diaris,recuperats,recuperats_diaris,hospitalitzats,uci,casos_actius,Data
1,,,,,,,,1,2020-02-24
2,1.0,,0.0,,0.0,,,2,2020-02-25
8,6.0,,0.0,,0.0,,,8,2020-02-26
10,2.0,,0.0,,0.0,,,10,2020-02-27
15,5.0,,0.0,,0.0,,,15,2020-02-28
15,0.0,,0.0,,0.0,,,15,2020-02-29
15,0.0,,0.0,,0.0,,,15,2020-03-01
19,4.0,,0.0,,0.0,,,19,2020-03-02
19,0.0,,0.0,,0.0,,,19,2020-03-03
30,11.0,,0.0,,0.0,,,30,2020-03-04
30,0.0,,0.0,,0.0,,,30,2020-03-05
37,7.0,,0.0,,0.0,,,37,2020-03-06
37,0.0,1.0,1.0,1.0,1.0,,1.0,35,2020-03-07
50,13.0,1.0,0.0,1.0,0.0,,1.0,48,2020-03-08
65,15.0,1.0,0.0,1.0,0.0,,1.0,63,2020-03-09
76,11.0,1.0,0.0,1.0,0.0,22.0,2.0,74,2020-03-10
94,18.0,1.0,0.0,2.0,1.0,23.0,2.0,91,2020-03-11
130,36.0,4.0,3.0,2.0,0.0,31.0,4.0,124,2020-03-12
409,279.0,5.0,1.0,2.0,0.0,31.0,4.0,402,2020-03-13
409,0.0,5.0,0.0,2.0,0.0,31.0,4.0,402,2020-03-14
541,132.0,13.0,8.0,12.0,10.0,135.0,27.0,516,2020-03-15
726,185.0,22.0,9.0,16.0,4.0,252.0,40.0,688,2020-03-16
921,195.0,24.0,2.0,19.0,3.0,274.0,52.0,878,2020-03-17
1105,184.0,33.0,9.0,20.0,1.0,378.0,71.0,1052,2020-03-18
1363,258.0,50.0,17.0,25.0,5.0,476.0,84.0,1288,2020-03-19
1604,241.0,69.0,19.0,30.0,5.0,590.0,113.0,1505,2020-03-20
1901,297.0,94.0,25.0,36.0,6.0,702.0,138.0,1771,2020-03-21
2167,266.0,115.0,21.0,37.0,1.0,917.0,161.0,2015,2020-03-23
2616,449.0,143.0,28.0,44.0,7.0,1071.0,198.0,2429,2020-03-23
3200,584.0,167.0,24.0,57.0,13.0,1278.0,230.0,2976,2020-03-24
