date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0
2020-02-18,2.0,2.0,2.0,0.0,0.19,0.19,0.095,0.046,0.0092,0.02666666666666667,0.0,0.6666666666666666
2020-02-19,7.0,7.0,5.0,0.0,0.665,0.665,0.095,0.161,0.0322,0.09333333333333334,0.0,0.625
2020-02-20,11.0,11.0,4.0,0.0,1.045,1.045,0.095,0.253,0.050600000000000006,0.14666666666666667,0.0,0.3333333333333333
2020-02-21,13.0,13.0,2.0,0.0,1.235,1.235,0.095,0.299,0.0598,0.17333333333333334,0.0,0.14285714285714285
2020-02-22,20.0,20.0,7.0,0.0,1.9,1.9,0.095,0.45999999999999996,0.092,0.26666666666666666,0.0,0.3333333333333333
2020-02-23,23.0,23.0,3.0,0.0,2.185,2.185,0.095,0.529,0.1058,0.30666666666666664,0.0,0.125
2020-02-24,27.0,27.0,4.0,0.0,2.565,2.565,0.095,0.621,0.1242,0.36,0.0,0.14285714285714285
2020-02-25,37.0,37.0,10.0,0.0,3.515,3.515,0.095,0.851,0.17020000000000002,0.49333333333333335,0.0,0.2631578947368421
2020-02-26,52.0,52.0,15.0,0.0,4.94,4.94,0.095,1.196,0.2392,0.6933333333333334,0.0,0.2830188679245283
2020-02-27,64.0,64.0,12.0,0.0,6.08,6.08,0.095,1.472,0.2944,0.8533333333333334,0.0,0.18461538461538463
2020-02-28,79.0,79.0,15.0,0.0,7.505,7.505,0.095,1.817,0.3634,1.0533333333333332,0.0,0.1875
2020-02-29,103.0,103.0,24.0,0.0,9.785,9.785,0.095,2.3689999999999998,0.4738,1.3733333333333333,0.0,0.23076923076923078
2020-03-01,142.0,142.0,39.0,0.0,13.49,13.49,0.095,3.266,0.6532,1.8933333333333333,0.0,0.2727272727272727
2020-03-02,212.0,212.0,70.0,0.0,20.14,20.14,0.095,4.876,0.9752000000000001,2.8266666666666667,0.0,0.3286384976525822
