,informe,dosis Pfizer,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,personas con al menos una dosis,personas con pauta completa,Pfizer/Moderna,AZ/Janssen,rel_AZ,dosis 1,dosis 2,dosis 1 AZ,dosis 1 Pfizer
0,2021-01-03,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1,2021-01-04,61225,0,0,0,61225,3252,0,0,61225,0,0.0,3252,0,0,3252
2,2021-01-05,61225,0,0,0,61225,8586,0,0,61225,0,0.0,5334,0,0,5334
3,2021-01-07,61225,0,0,0,61225,11677,0,0,61225,0,0.0,3091,0,0,3091
4,2021-01-08,61225,0,0,0,61225,15965,0,0,61225,0,0.0,4288,0,0,4288
5,2021-01-11,61225,0,0,0,61225,45674,0,0,61225,0,0.0,29709,0,0,29709
6,2021-01-12,61225,0,0,0,61225,57223,0,0,61225,0,0.0,11549,0,0,11549
7,2021-01-13,91450,0,0,0,91450,70870,0,0,91450,0,0.0,13647,0,0,13647
8,2021-01-14,91450,2900,0,0,94350,80429,0,0,94350,0,0.0,9559,0,0,9559
9,2021-01-15,91450,2900,0,0,94350,86927,0,0,94350,0,0.0,6498,0,0,6498
10,2021-01-18,91450,2900,0,0,94350,93695,0,152,94350,0,0.0,6616,152,0,6616
11,2021-01-19,91450,2900,0,0,94350,95260,0,588,94350,0,0.0,1129,436,0,1129
12,2021-01-20,109000,2900,0,0,111900,99932,0,1737,111900,0,0.0,3523,1149,0,3523
13,2021-01-21,109000,2900,0,0,111900,101437,0,2956,111900,0,0.0,286,1219,0,286
14,2021-01-22,109000,2900,0,0,111900,103426,0,4139,111900,0,0.0,806,1183,0,806
15,2021-01-25,109000,2900,0,0,111900,104449,0,4532,111900,0,0.0,630,393,0,630
16,2021-01-26,109000,2900,0,0,111900,105490,0,5393,111900,0,0.0,180,861,0,180
17,2021-01-27,142930,2900,0,0,145830,108454,0,7304,145830,0,0.0,1053,1911,0,1053
18,2021-01-28,142930,2900,0,0,145830,109716,0,8948,145830,0,0.0,0,1644,0,0
19,2021-01-29,142930,2900,0,0,145830,112272,0,11317,145830,0,0.0,0,2369,0,0
20,2021-02-01,142930,2900,0,0,145830,136109,0,33395,145830,0,0.0,1564,22078,0,1564
21,2021-02-02,142930,2900,0,0,145830,147945,0,44979,145830,0,0.0,252,11584,0,252
22,2021-02-03,175690,7000,0,0,182690,162563,0,58452,182690,0,0.0,1145,13473,0,1145
23,2021-02-04,175690,7000,0,0,182690,172754,0,67840,182690,0,0.0,803,9388,0,803
24,2021-02-05,175690,7000,0,0,182690,182225,0,75577,182690,0,0.0,1734,7737,0,1734
25,2021-02-08,175690,7000,0,0,182690,190902,0,83171,182690,0,0.0,1083,7594,0,1083
26,2021-02-09,175690,7000,20600,0,203290,196489,0,87353,182690,20600,0.1013330709823405,1405,4182,566,839
27,2021-02-10,207280,15700,20600,0,243580,201983,0,89522,222980,20600,0.08457180392478857,3325,2169,465,2860
28,2021-02-11,207280,15700,20600,0,243580,208242,0,90760,222980,20600,0.08457180392478857,5021,1238,529,4492
29,2021-02-12,207280,15700,20600,0,243580,214010,0,92433,222980,20600,0.08457180392478857,4095,1673,488,3607
30,2021-02-15,207280,15700,20600,0,243580,219822,0,94255,222980,20600,0.08457180392478857,3990,1822,492,3498
31,2021-02-16,207280,15700,20600,0,243580,224560,0,95559,222980,20600,0.08457180392478857,3434,1304,401,3033
32,2021-02-17,247060,15700,44500,0,307260,228180,0,96040,262760,44500,0.14482848402004816,3139,481,524,2615
33,2021-02-18,247060,15700,44500,0,307260,233828,0,96724,262760,44500,0.14482848402004816,4964,684,818,4146
34,2021-02-19,247060,15700,44500,0,307260,254502,0,97384,262760,44500,0.14482848402004816,20014,660,2994,17020
35,2021-02-22,247060,15700,44500,0,307260,270007,0,98606,262760,44500,0.14482848402004816,14283,1222,2246,12037
36,2021-02-23,247060,15700,44500,0,307260,273978,0,99045,262760,44500,0.14482848402004816,3532,439,575,2957
37,2021-02-24,288010,15700,86200,0,389910,286962,0,100209,303710,86200,0.22107665871611398,11820,1164,2870,8950
38,2021-02-25,288010,15700,86200,0,389910,301372,0,100793,303710,86200,0.22107665871611398,13826,584,3186,10640
39,2021-02-26,288010,15700,86200,0,389910,313175,0,101330,303710,86200,0.22107665871611398,11266,537,2609,8657
40,2021-03-01,288010,15700,86200,0,389910,323505,0,102016,303710,86200,0.22107665871611398,9644,686,2284,7360
41,2021-03-02,288010,15700,86200,0,389910,323505,0,102016,303710,86200,0.22107665871611398,0,0,0,0
42,2021-03-03,340660,31700,124700,0,497060,349392,0,105717,372360,124700,0.2508751458576429,22186,3701,6494,15692
43,2021-03-04,340660,31700,124700,0,497060,370712,0,109409,372360,124700,0.2508751458576429,17628,3692,5349,12279
44,2021-03-05,340660,31700,124700,0,497060,394016,0,113075,372360,124700,0.2508751458576429,19638,3666,5846,13792
45,2021-03-08,340660,31700,124700,0,497060,394021,0,113077,372360,124700,0.2508751458576429,3,2,1,2
46,2021-03-09,340660,31700,124700,0,497060,426373,0,120409,372360,124700,0.2508751458576429,25020,7332,8116,16904
47,2021-03-10,395650,31700,181300,0,608650,436903,0,124344,427350,181300,0.2978723404255319,6595,3935,3137,3458
